# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2091143	2091565	+							EJO50_RS09200	423		old_locus_tag=EJO50_09200
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2091143	2091565	+	WP_125973545.1	WP_125973545.1		MarR family transcriptional regulator			EJO50_RS09200	423	140	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2091611	2092153	+							EJO50_RS09205	543		old_locus_tag=EJO50_09205
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2091611	2092153	+	WP_125973547.1	WP_125973547.1		cytochrome b			EJO50_RS09205	543	180	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2092205	2092765	+							EJO50_RS09210	561		old_locus_tag=EJO50_09210
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2092205	2092765	+	WP_233702025.1	WP_233702025.1		YceI family protein			EJO50_RS09210	561	186	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2092793	2093359	+							EJO50_RS09215	567		old_locus_tag=EJO50_09215
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2092793	2093359	+	WP_125973549.1	WP_125973549.1		YceI family protein			EJO50_RS09215	567	188	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2093437	2094186	-							EJO50_RS09220	750		old_locus_tag=EJO50_09220
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2093437	2094186	-	WP_125971449.1	WP_125971449.1		IS5 family transposase			EJO50_RS09220	750	249	
gene	pseudogene	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2094278	2095368	-							EJO50_RS09225	1091		pseudo;old_locus_tag=EJO50_09225
CDS	without_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2094278	2095368	-				IS3 family transposase			EJO50_RS09225	1091		pseudo
gene	rRNA	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2095759	2095872	-					rrf		EJO50_RS09230	114		old_locus_tag=EJO50_09230
rRNA		GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2095759	2095872	-				5S ribosomal RNA	rrf		EJO50_RS09230	114		
gene	rRNA	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2096006	2099299	-							EJO50_RS09235	3294		old_locus_tag=EJO50_09235
rRNA		GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2096006	2099299	-				23S ribosomal RNA			EJO50_RS09235	3294		
gene	tRNA	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2099586	2099661	-							EJO50_RS09240	76		old_locus_tag=EJO50_09240
tRNA		GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2099586	2099661	-				tRNA-Ala			EJO50_RS09240	76		anticodon=TGC
gene	tRNA	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2099910	2099986	-							EJO50_RS09245	77		old_locus_tag=EJO50_09245
tRNA		GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2099910	2099986	-				tRNA-Ile			EJO50_RS09245	77		anticodon=GAT
gene	rRNA	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2100117	2101650	-							EJO50_RS09250	1534		old_locus_tag=EJO50_09250
rRNA		GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2100117	2101650	-				16S ribosomal RNA			EJO50_RS09250	1534		
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2102005	2102262	+					grxC		EJO50_RS09255	258		old_locus_tag=EJO50_09255
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2102005	2102262	+	WP_125973551.1	WP_125973551.1		glutaredoxin 3	grxC		EJO50_RS09255	258	85	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2102367	2102837	+					secB		EJO50_RS09260	471		old_locus_tag=EJO50_09260
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2102367	2102837	+	WP_125973553.1	WP_125973553.1		protein-export chaperone SecB	secB		EJO50_RS09260	471	156	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2102818	2103264	+							EJO50_RS09265	447		old_locus_tag=EJO50_09265
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2102818	2103264	+	WP_125973555.1	WP_125973555.1		SH3 domain-containing protein			EJO50_RS09265	447	148	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2103261	2104253	+							EJO50_RS09270	993		old_locus_tag=EJO50_09270
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2103261	2104253	+	WP_125973557.1	WP_125973557.1		NAD(P)-dependent glycerol-3-phosphate dehydrogenase			EJO50_RS09270	993	330	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2104314	2105678	-							EJO50_RS09275	1365		old_locus_tag=EJO50_09275
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2104314	2105678	-	WP_125973559.1	WP_125973559.1		DUF1501 domain-containing protein			EJO50_RS09275	1365	454	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2105688	2107439	-							EJO50_RS09280	1752		old_locus_tag=EJO50_09280
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2105688	2107439	-	WP_164521468.1	WP_164521468.1		DUF1800 domain-containing protein			EJO50_RS09280	1752	583	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2107792	2108712	+							EJO50_RS09285	921		old_locus_tag=EJO50_09285
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2107792	2108712	+	WP_125973563.1	WP_125973563.1		branched-chain amino acid transaminase			EJO50_RS09285	921	306	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2108825	2109025	+							EJO50_RS09290	201		old_locus_tag=EJO50_09290
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2108825	2109025	+	WP_125973565.1	WP_125973565.1		zinc-finger domain-containing protein			EJO50_RS09290	201	66	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2109177	2110184	+					waaF		EJO50_RS09295	1008		old_locus_tag=EJO50_09295
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2109177	2110184	+	WP_125973567.1	WP_125973567.1		lipopolysaccharide heptosyltransferase II	waaF		EJO50_RS09295	1008	335	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2110237	2110644	+							EJO50_RS09300	408		old_locus_tag=EJO50_09300
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2110237	2110644	+	WP_125973569.1	WP_125973569.1		hypothetical protein			EJO50_RS09300	408	135	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2110866	2112155	+					aroA		EJO50_RS09305	1290		old_locus_tag=EJO50_09305
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2110866	2112155	+	WP_125973571.1	WP_125973571.1		3-phosphoshikimate 1-carboxyvinyltransferase	aroA		EJO50_RS09305	1290	429	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2112290	2113009	-							EJO50_RS09310	720		old_locus_tag=EJO50_09310
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2112290	2113009	-	WP_164521469.1	WP_164521469.1		transporter substrate-binding domain-containing protein			EJO50_RS09310	720	239	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2113171	2113575	-							EJO50_RS09315	405		old_locus_tag=EJO50_09315
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2113171	2113575	-	WP_125973575.1	WP_125973575.1		hypothetical protein			EJO50_RS09315	405	134	
gene	pseudogene	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2114184	2114273	+							EJO50_RS17450	90		partial;pseudo
CDS	without_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2114184	2114273	+				carbohydrate-binding protein			EJO50_RS17450	90		partial;pseudo
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2114322	2115689	+							EJO50_RS09320	1368		old_locus_tag=EJO50_09320
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2114322	2115689	+	WP_233702246.1	WP_233702246.1		chitinase			EJO50_RS09320	1368	455	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2116053	2118506	+							EJO50_RS09325	2454		old_locus_tag=EJO50_09325
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2116053	2118506	+	WP_125973580.1	WP_125973580.1		adenosylcobalamin-dependent ribonucleoside-diphosphate reductase			EJO50_RS09325	2454	817	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2118968	2122873	+					hrpA		EJO50_RS09330	3906		old_locus_tag=EJO50_09330
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2118968	2122873	+	WP_233702027.1	WP_233702027.1		ATP-dependent RNA helicase HrpA	hrpA		EJO50_RS09330	3906	1301	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2122970	2123461	-							EJO50_RS09335	492		old_locus_tag=EJO50_09335
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2122970	2123461	-	WP_125973584.1	WP_125973584.1		YfiR family protein			EJO50_RS09335	492	163	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2123464	2125467	-							EJO50_RS09340	2004		old_locus_tag=EJO50_09340
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2123464	2125467	-	WP_125973586.1	WP_125973586.1		TonB-dependent receptor			EJO50_RS09340	2004	667	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2125464	2126738	-							EJO50_RS09345	1275		old_locus_tag=EJO50_09345
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2125464	2126738	-	WP_125973588.1	WP_125973588.1		sensor domain-containing diguanylate cyclase			EJO50_RS09345	1275	424	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2127058	2127483	+							EJO50_RS09350	426		old_locus_tag=EJO50_09350
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2127058	2127483	+	WP_206434354.1	WP_206434354.1		FKBP-type peptidyl-prolyl cis-trans isomerase			EJO50_RS09350	426	141	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2127557	2129338	-					aceK		EJO50_RS09355	1782		old_locus_tag=EJO50_09355
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2127557	2129338	-	WP_233702029.1	WP_233702029.1		bifunctional isocitrate dehydrogenase kinase/phosphatase	aceK		EJO50_RS09355	1782	593	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2129552	2130733	-							EJO50_RS09360	1182		old_locus_tag=EJO50_09360
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2129552	2130733	-	WP_125973592.1	WP_125973592.1		acetyl-CoA C-acetyltransferase			EJO50_RS09360	1182	393	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2130893	2132614	-					phaC		EJO50_RS09365	1722		old_locus_tag=EJO50_09365
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2130893	2132614	-	WP_125973594.1	WP_125973594.1		class I poly(R)-hydroxyalkanoic acid synthase	phaC		EJO50_RS09365	1722	573	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2132857	2133939	+					pbpG		EJO50_RS09370	1083		old_locus_tag=EJO50_09370
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2132857	2133939	+	WP_125973596.1	WP_125973596.1		D-alanyl-D-alanine endopeptidase	pbpG		EJO50_RS09370	1083	360	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2133998	2135083	-					apbC		EJO50_RS09375	1086		old_locus_tag=EJO50_09375
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2133998	2135083	-	WP_125973598.1	WP_125973598.1		iron-sulfur cluster carrier protein ApbC	apbC		EJO50_RS09375	1086	361	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2135386	2137440	-							EJO50_RS09380	2055		old_locus_tag=EJO50_09380
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2135386	2137440	-	WP_164521470.1	WP_164521470.1		patatin-like phospholipase family protein			EJO50_RS09380	2055	684	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2137644	2138318	+							EJO50_RS09385	675		old_locus_tag=EJO50_09385
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2137644	2138318	+	WP_164521471.1	WP_164521471.1		glycerophosphodiester phosphodiesterase			EJO50_RS09385	675	224	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2138804	2141122	+							EJO50_RS09390	2319		old_locus_tag=EJO50_09390
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2138804	2141122	+	WP_125973604.1	WP_125973604.1		RNA-binding transcriptional accessory protein			EJO50_RS09390	2319	772	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2141146	2141541	-							EJO50_RS09395	396		old_locus_tag=EJO50_09395
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2141146	2141541	-	WP_125973606.1	WP_125973606.1		hypothetical protein			EJO50_RS09395	396	131	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2141617	2142969	-							EJO50_RS09400	1353		old_locus_tag=EJO50_09400
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2141617	2142969	-	WP_233702031.1	WP_233702031.1		anaerobic C4-dicarboxylate transporter			EJO50_RS09400	1353	450	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2143118	2143924	+							EJO50_RS09405	807		old_locus_tag=EJO50_09405
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2143118	2143924	+	WP_125973610.1	WP_125973610.1		flagellin FliC			EJO50_RS09405	807	268	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2143965	2144870	-							EJO50_RS09410	906		old_locus_tag=EJO50_09410
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2143965	2144870	-	WP_206434355.1	WP_206434355.1		diguanylate cyclase			EJO50_RS09410	906	301	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2144945	2147974	-							EJO50_RS09415	3030		old_locus_tag=EJO50_09415
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2144945	2147974	-	WP_164521472.1	WP_164521472.1		hybrid sensor histidine kinase/response regulator			EJO50_RS09415	3030	1009	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2148387	2148602	+							EJO50_RS17160	216		
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2148387	2148602	+	WP_164521473.1	WP_164521473.1		hypothetical protein			EJO50_RS17160	216	71	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2148937	2150565	+							EJO50_RS09420	1629		old_locus_tag=EJO50_09420
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2148937	2150565	+	WP_164521474.1	WP_164521474.1		FAD-dependent oxidoreductase			EJO50_RS09420	1629	542	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2150576	2151610	+							EJO50_RS09425	1035		old_locus_tag=EJO50_09425
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2150576	2151610	+	WP_125973615.1	WP_125973615.1		TRAP transporter substrate-binding protein			EJO50_RS09425	1035	344	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2151776	2152339	+							EJO50_RS09430	564		old_locus_tag=EJO50_09430
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2151776	2152339	+	WP_125973617.1	WP_125973617.1		DNA-3-methyladenine glycosylase I			EJO50_RS09430	564	187	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2152400	2153773	-					yegQ		EJO50_RS09435	1374		old_locus_tag=EJO50_09435
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2152400	2153773	-	WP_125973619.1	WP_125973619.1		tRNA 5-hydroxyuridine modification protein YegQ	yegQ		EJO50_RS09435	1374	457	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2154149	2154463	-							EJO50_RS09440	315		old_locus_tag=EJO50_09440
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2154149	2154463	-	WP_125973621.1	WP_125973621.1		hypothetical protein			EJO50_RS09440	315	104	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2154655	2156112	+							EJO50_RS09445	1458		old_locus_tag=EJO50_09445
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2154655	2156112	+	WP_125973623.1	WP_125973623.1		PLP-dependent aminotransferase family protein			EJO50_RS09445	1458	485	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2156100	2157401	-							EJO50_RS09450	1302		old_locus_tag=EJO50_09450
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2156100	2157401	-	WP_125973625.1	WP_125973625.1		HD domain-containing protein			EJO50_RS09450	1302	433	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2157514	2158809	-							EJO50_RS09455	1296		old_locus_tag=EJO50_09455
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2157514	2158809	-	WP_164521475.1	WP_164521475.1		HD domain-containing protein			EJO50_RS09455	1296	431	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2159021	2160883	-					dxs		EJO50_RS09460	1863		old_locus_tag=EJO50_09460
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2159021	2160883	-	WP_206434356.1	WP_206434356.1		1-deoxy-D-xylulose-5-phosphate synthase	dxs		EJO50_RS09460	1863	620	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2160883	2161776	-							EJO50_RS09465	894		old_locus_tag=EJO50_09465
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2160883	2161776	-	WP_125973629.1	WP_125973629.1		polyprenyl synthetase family protein			EJO50_RS09465	894	297	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2161777	2162007	-							EJO50_RS09470	231		old_locus_tag=EJO50_09470
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2161777	2162007	-	WP_125973631.1	WP_125973631.1		exodeoxyribonuclease VII small subunit			EJO50_RS09470	231	76	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2162384	2163232	+							EJO50_RS09475	849		old_locus_tag=EJO50_09475
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2162384	2163232	+	WP_164521476.1	WP_164521476.1		beta-1,6-N-acetylglucosaminyltransferase			EJO50_RS09475	849	282	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2163501	2163641	+							EJO50_RS09480	141		old_locus_tag=EJO50_09480
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2163501	2163641	+	WP_233702033.1	WP_233702033.1		hypothetical protein			EJO50_RS09480	141	46	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2164120	2164386	-							EJO50_RS09485	267		old_locus_tag=EJO50_09485
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2164120	2164386	-	WP_125973637.1	WP_125973637.1		hypothetical protein			EJO50_RS09485	267	88	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2164383	2164745	-							EJO50_RS09490	363		old_locus_tag=EJO50_09490
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2164383	2164745	-	WP_164521478.1	WP_164521478.1		phage holin family protein			EJO50_RS09490	363	120	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2164778	2165077	-							EJO50_RS09495	300		old_locus_tag=EJO50_09495
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2164778	2165077	-	WP_125973641.1	WP_125973641.1		DUF883 family protein			EJO50_RS09495	300	99	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2165149	2165517	-							EJO50_RS17455	369		
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2165149	2165517	-	WP_233702248.1	WP_233702248.1		hypothetical protein			EJO50_RS17455	369	122	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2165514	2165981	-							EJO50_RS17460	468		
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2165514	2165981	-	WP_233702035.1	WP_233702035.1		hypothetical protein			EJO50_RS17460	468	155	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2166060	2167409	-							EJO50_RS09505	1350		old_locus_tag=EJO50_09505
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2166060	2167409	-	WP_125973643.1	WP_125973643.1		phosphomannomutase/phosphoglucomutase			EJO50_RS09505	1350	449	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2167420	2168418	-							EJO50_RS09510	999		old_locus_tag=EJO50_09510
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2167420	2168418	-	WP_125973645.1	WP_125973645.1		alpha/beta fold hydrolase			EJO50_RS09510	999	332	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2168544	2170148	-							EJO50_RS09515	1605		old_locus_tag=EJO50_09515
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2168544	2170148	-	WP_125973647.1	WP_125973647.1		ABC-F family ATPase			EJO50_RS09515	1605	534	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2171012	2172529	+							EJO50_RS09520	1518		old_locus_tag=EJO50_09520
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2171012	2172529	+	WP_125973649.1	WP_125973649.1		hypothetical protein			EJO50_RS09520	1518	505	
gene	tRNA	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2172641	2172730	+							EJO50_RS09525	90		old_locus_tag=EJO50_09525
tRNA		GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2172641	2172730	+				tRNA-Ser			EJO50_RS09525	90		anticodon=TGA
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2172883	2173986	-							EJO50_RS09530	1104		old_locus_tag=EJO50_09530
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2172883	2173986	-	WP_125973651.1	WP_125973651.1		porin			EJO50_RS09530	1104	367	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2174271	2175365	-							EJO50_RS09535	1095		old_locus_tag=EJO50_09535
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2174271	2175365	-	WP_125973653.1	WP_125973653.1		porin			EJO50_RS09535	1095	364	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2176230	2177246	-					gap		EJO50_RS09540	1017		old_locus_tag=EJO50_09540
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2176230	2177246	-	WP_125973655.1	WP_125973655.1		type I glyceraldehyde-3-phosphate dehydrogenase	gap		EJO50_RS09540	1017	338	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2177474	2178097	-					eda		EJO50_RS09545	624		old_locus_tag=EJO50_09545
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2177474	2178097	-	WP_125973657.1	WP_125973657.1		bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase	eda		EJO50_RS09545	624	207	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2178254	2180080	-					edd		EJO50_RS09550	1827		old_locus_tag=EJO50_09550
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2178254	2180080	-	WP_125973658.1	WP_125973658.1		phosphogluconate dehydratase	edd		EJO50_RS09550	1827	608	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2180387	2181841	+					zwf		EJO50_RS09555	1455		old_locus_tag=EJO50_09555
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2180387	2181841	+	WP_125973660.1	WP_125973660.1		glucose-6-phosphate dehydrogenase	zwf		EJO50_RS09555	1455	484	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2181906	2182601	+					pgl		EJO50_RS09560	696		old_locus_tag=EJO50_09560
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2181906	2182601	+	WP_125973662.1	WP_125973662.1		6-phosphogluconolactonase	pgl		EJO50_RS09560	696	231	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	2182766	2183617	+					hexR		EJO50_RS09565	852		old_locus_tag=EJO50_09565
